name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,has_toilets,has_shade,has_dog_area,has_fuel,rating,description,verified,source
Aire de Phalempin-Ouest,station_carburant,autoroute,,,France,50.5311346,3.0458796,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de Phalempin-Est,station_carburant,autoroute,,,France,50.5302723,3.0462889,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Maxi-Autohof Gießen-Lützellinden,station_carburant,autoroute,,Gießen,France,50.529007,8.6056234,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant. (Gießen),TRUE,osm
Aire de Sprimont,station_carburant,autoroute,,,France,50.523284,5.6656064,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Landsberg an der Warthe,station_carburant,autoroute,,,France,50.5212652,7.6941102,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire de Genech Ouest,station_carburant,autoroute,,,France,50.5188618,3.2055068,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
SVG Autohof Merenberg,station_carburant,autoroute,,Merenberg,France,50.498943,8.1845138,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant. (Merenberg),TRUE,osm
Aire de Spy,station_carburant,autoroute,,,France,50.4948598,4.7017245,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire du Bois du Gard (Nord),station_carburant,autoroute,,,France,50.491484,3.9841398,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire du Bois du Gard Sud,station_carburant,autoroute,,,France,50.490898,3.9859141,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire du Rœulx-Thieu Nord,station_carburant,autoroute,,,France,50.4902673,4.0955763,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
Aire du Rœulx-Thieu Sud,station_carburant,autoroute,,,France,50.4882513,4.0959801,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,4.0,Aire de service avec carburant.,TRUE,osm
