name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,rating,description,verified,source,opening_hours
Station Rue Saint-Alban,station_carburant,,Rue Jean Rouquette,Saint-Alban,France,43.708,1.397,true,false,true,false,false,,"⛽ Diesel, E85, E10. 🚗 Lavage auto  🚗 Lavage  💳 DAB. (31140 Saint-Alban)",true,prix_carburants_gouv,
Station RN Chambourcy,station_carburant,,RN 13,Chambourcy,France,48.91,2.033,true,false,true,false,false,,"⛽ Diesel, SP95, E10, SP98. 🔵 Gaz  💳 DAB. (78240 Chambourcy)",true,prix_carburants_gouv,
Station AUTOROUTE Havrincourt,station_carburant,,AUTOROUTE A2 AIRE DE GRAINCOURT,Havrincourt,France,50.124188,3.089977,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🍽️ Restauration. (62147 Havrincourt)",true,prix_carburants_gouv,
Station 3 Carbonne,station_carburant,,3 avenue Jean Monnet - Lieu-dit Millet,Carbonne,France,43.309,1.222,true,false,true,false,false,,"⛽ Diesel, E85, GPL, E10, SP98. 🛒 Boutique  🛒 Boutique  🔧 Gonflage  🚗 Lavage auto. (31390 Carbonne)",true,prix_carburants_gouv,Ouvert 24h/24
Station ZI Le Miroir,station_carburant,,ZI DE MILLEURE,Le Miroir,France,46.547,5.324,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 🚗 Lavage  💳 CB 24h/24. (71480 Le Miroir)",true,prix_carburants_gouv,Ouvert 24h/24
Station N7 Albon,station_carburant,,N7,Albon,France,45.242657,4.820665,true,false,true,false,false,,"⛽ Diesel, E85, E10. 💳 CB 24h/24. (26140 Albon)",true,prix_carburants_gouv,Ouvert 24h/24
Station Allée Château-Renard,station_carburant,,Allée de la Gravière,Château-Renard,France,47.932194,2.923775,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🛒 Boutique  🔵 Gaz. (45220 Château-Renard)",true,prix_carburants_gouv,
Station 4 Limoges,station_carburant,,4 avenue baudin,Limoges,France,45.827,1.259,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 🛒 Boutique  🛒 Boutique  🍽️ Restauration  🔧 Gonflage. (87000 Limoges)",true,prix_carburants_gouv,Ouvert 24h/24
Station Corne Loire-Authion,station_carburant,,Corne 11 rue de Bellevue,Loire-Authion,France,47.474778,-0.347183,true,false,true,false,false,,"⛽ Diesel, SP95, SP98. 🚻 Toilettes  📦 Relais colis  🔵 Gaz  💳 CB 24h/24. (49630 Loire-Authion)",true,prix_carburants_gouv,Ouvert 24h/24
Station BD Valence,station_carburant,,BD FRANKLIN ROOSEVELT,Valence,France,44.923712,4.917271,true,false,true,false,false,,"⛽ Diesel, E85, E10. 🛒 Boutique  🛒 Boutique  🔧 Gonflage  🚗 Lavage auto. (26000 Valence)",true,prix_carburants_gouv,
Station AVENUE Nogaro,station_carburant,,AVENUE DANIATE,Nogaro,France,43.770041,-0.030183,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 🔧 Gonflage  🚗 Lavage auto  🚗 Lavage  🔵 Gaz. (32110 Nogaro)",true,prix_carburants_gouv,Ouvert 24h/24
Station Rue Le Malesherbois,station_carburant,,Rue de Vauluizard,Le Malesherbois,France,48.292,2.398,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 💳 DAB. (45330 Le Malesherbois)",true,prix_carburants_gouv,
Station 314 Nîmes,station_carburant,,314 route d'Avignon,Nîmes,France,43.851,4.401,true,false,true,false,false,,"⛽ Diesel, E85, GPL, E10, SP98. 🛒 Boutique  🛒 Boutique  🔧 Gonflage  🚗 Lavage auto. (30000 Nîmes)",true,prix_carburants_gouv,Ouvert 24h/24
